name,param:dvc_rev,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
tests/benchmarks/cli/commands/test_add.py::test_add-add[2.10.2],2.10.2,259.3846796920002,259.3846796920002,259.3846796920002,0,259.3846796920002,0.0,0;0,0.0038552778104991585,1,1
tests/benchmarks/cli/commands/test_add.py::test_add-add[2.11.0],2.11.0,258.0448306540002,258.0448306540002,258.0448306540002,0,258.0448306540002,0.0,0;0,0.0038752956122606913,1,1
tests/benchmarks/cli/commands/test_add.py::test_add-add[2.12.0],2.12.0,230.43465143899994,230.43465143899994,230.43465143899994,0,230.43465143899994,0.0,0;0,0.004339625111741137,1,1
tests/benchmarks/cli/commands/test_add.py::test_add-add[2.6.3],2.6.3,292.2423629519999,292.2423629519999,292.2423629519999,0,292.2423629519999,0.0,0;0,0.0034218173912186974,1,1
tests/benchmarks/cli/commands/test_add.py::test_add-add[main],main,234.262237336,234.262237336,234.262237336,0,234.262237336,0.0,0;0,0.004268720436430008,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout[2.10.2],2.10.2,85.63886454899989,85.63886454899989,85.63886454899989,0,85.63886454899989,0.0,0;0,0.011676941366122752,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout[2.11.0],2.11.0,83.94336537999993,83.94336537999993,83.94336537999993,0,83.94336537999993,0.0,0;0,0.011912793768431122,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout[2.12.0],2.12.0,86.21434833900003,86.21434833900003,86.21434833900003,0,86.21434833900003,0.0,0;0,0.011598997374171867,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout[2.6.3],2.6.3,61.04159732400012,61.04159732400012,61.04159732400012,0,61.04159732400012,0.0,0;0,0.01638227116980806,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout[main],main,88.64156844499985,88.64156844499985,88.64156844499985,0,88.64156844499985,0.0,0;0,0.011281388828543553,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-noop[2.10.2],2.10.2,5.062491318000184,5.062491318000184,5.062491318000184,0,5.062491318000184,0.0,0;0,0.19753120295622079,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-noop[2.11.0],2.11.0,4.96358396200003,4.96358396200003,4.96358396200003,0,4.96358396200003,0.0,0;0,0.20146732837718723,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-noop[2.12.0],2.12.0,6.701653399999941,6.701653399999941,6.701653399999941,0,6.701653399999941,0.0,0;0,0.14921690817373648,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-noop[2.6.3],2.6.3,2.458540843000037,2.458540843000037,2.458540843000037,0,2.458540843000037,0.0,0;0,0.4067453273543135,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-noop[main],main,6.696964735000165,6.696964735000165,6.696964735000165,0,6.696964735000165,0.0,0;0,0.1493213776046523,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-update[2.10.2],2.10.2,34.60748604100013,34.60748604100013,34.60748604100013,0,34.60748604100013,0.0,0;0,0.02889548229002481,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-update[2.11.0],2.11.0,33.27291132100004,33.27291132100004,33.27291132100004,0,33.27291132100004,0.0,0;0,0.030054478562230737,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-update[2.12.0],2.12.0,7.8178355079999164,7.8178355079999164,7.8178355079999164,0,7.8178355079999164,0.0,0;0,0.12791264269716465,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-update[2.6.3],2.6.3,81.14615375999983,81.14615375999983,81.14615375999983,0,81.14615375999983,0.0,0;0,0.01232344299346126,1,1
tests/benchmarks/cli/commands/test_checkout.py::test_checkout-checkout-update[main],main,7.93292406799992,7.93292406799992,7.93292406799992,0,7.93292406799992,0.0,0;0,0.12605692320109702,1,1
tests/benchmarks/cli/commands/test_diff.py::test_diff-diff[2.10.2],2.10.2,38.296700351000254,38.296700351000254,38.296700351000254,0,38.296700351000254,0.0,0;0,0.02611191018637932,1,1
tests/benchmarks/cli/commands/test_diff.py::test_diff-diff[2.11.0],2.11.0,35.57200421400012,35.57200421400012,35.57200421400012,0,35.57200421400012,0.0,0;0,0.028111994870573774,1,1
tests/benchmarks/cli/commands/test_diff.py::test_diff-diff[2.12.0],2.12.0,23.85074006600007,23.85074006600007,23.85074006600007,0,23.85074006600007,0.0,0;0,0.041927420165277354,1,1
tests/benchmarks/cli/commands/test_diff.py::test_diff-diff[2.6.3],2.6.3,73.22182061100011,73.22182061100011,73.22182061100011,0,73.22182061100011,0.0,0;0,0.01365713105267653,1,1
tests/benchmarks/cli/commands/test_diff.py::test_diff-diff[main],main,23.827597325999932,23.827597325999932,23.827597325999932,0,23.827597325999932,0.0,0;0,0.04196814249957259,1,1
tests/benchmarks/cli/commands/test_diff.py::test_diff-diff-changed[2.10.2],2.10.2,24.140680157999668,24.140680157999668,24.140680157999668,0,24.140680157999668,0.0,0;0,0.04142385357227074,1,1
tests/benchmarks/cli/commands/test_diff.py::test_diff-diff-changed[2.11.0],2.11.0,23.587548959999822,23.587548959999822,23.587548959999822,0,23.587548959999822,0.0,0;0,0.042395248514197785,1,1
tests/benchmarks/cli/commands/test_diff.py::test_diff-diff-changed[2.12.0],2.12.0,5.016067986000053,5.016067986000053,5.016067986000053,0,5.016067986000053,0.0,0;0,0.1993593393851559,1,1
